,Branch,Branch-more-noise,Branch-small-noise,Branch2,Branch2-more-noise,Branch2-small-noise,Null,One path,One path-more-noise,One path-small-noise,One path2,One path2-more-noise,One path2-small-noise,Two paths,Two paths-more-noise,Two paths-small-noise
Branch,0.0,1.0,0.3333333333333336,2.0,1.5,1.833333333333333,1.333333333333333,1.0,1.333333333333334,1.1515151515151516,3.0,1.833333333333334,2.6515151515151514,3.0,1.866666666666668,2.6839826839826832
Branch-more-noise,1.0,0.0,0.6666666666666664,1.5,0.5,1.1666666666666665,0.333333333333333,2.0,0.333333333333334,1.4848484848484844,2.5,0.8333333333333339,1.9848484848484846,2.5,0.9666666666666679,2.0887445887445883
Branch-small-noise,0.3333333333333336,0.6666666666666664,0.0,1.833333333333333,1.1666666666666665,1.4999999999999996,0.9999999999999993,1.3333333333333335,1.0000000000000004,0.8181818181818181,2.833333333333333,1.5000000000000004,2.3181818181818175,2.833333333333333,1.5333333333333343,2.4220779220779214
Branch2,2.0,1.5,1.833333333333333,0.0,1.0,0.3333333333333336,1.333333333333333,3.0,1.833333333333334,2.6515151515151514,1.0,1.333333333333334,1.1515151515151516,3.0,1.866666666666668,2.6839826839826832
Branch2-more-noise,1.5,0.5,1.1666666666666665,1.0,0.0,0.6666666666666664,0.333333333333333,2.5,0.8333333333333339,1.9848484848484846,2.0,0.333333333333334,1.4848484848484844,2.5,0.9666666666666679,2.0887445887445883
Branch2-small-noise,1.833333333333333,1.1666666666666665,1.4999999999999996,0.3333333333333336,0.6666666666666664,0.0,0.9999999999999993,2.833333333333333,1.5000000000000004,2.3181818181818175,1.3333333333333335,1.0000000000000004,0.8181818181818181,2.833333333333333,1.5333333333333343,2.4220779220779214
Null,1.333333333333333,0.333333333333333,0.9999999999999993,1.333333333333333,0.333333333333333,0.9999999999999993,0.0,2.333333333333333,0.666666666666667,1.8181818181818175,2.333333333333333,0.666666666666667,1.8181818181818175,2.666666666666667,0.9333333333333349,2.207792207792208
One path,1.0,2.0,1.3333333333333335,3.0,2.5,2.833333333333333,2.333333333333333,0.0,1.666666666666666,0.5151515151515156,4.0,2.833333333333334,3.6515151515151514,2.0,2.2,2.0476190476190474
One path-more-noise,1.333333333333334,0.333333333333334,1.0000000000000004,1.833333333333334,0.8333333333333339,1.5000000000000004,0.666666666666667,1.666666666666666,0.0,1.1515151515151505,2.833333333333334,1.1666666666666679,2.3181818181818183,2.166666666666666,0.633333333333334,1.7554112554112544
One path-small-noise,1.1515151515151516,1.4848484848484844,0.8181818181818181,2.6515151515151514,1.9848484848484846,2.3181818181818175,1.8181818181818175,0.5151515151515156,1.1515151515151505,0.0,3.6515151515151514,2.318181818181819,3.136363636363636,2.0151515151515147,1.6848484848484846,1.6038961038961035
One path2,3.0,2.5,2.833333333333333,1.0,2.0,1.3333333333333335,2.333333333333333,4.0,2.833333333333334,3.6515151515151514,0.0,1.666666666666666,0.5151515151515156,2.0,2.2,2.0476190476190474
One path2-more-noise,1.833333333333334,0.8333333333333339,1.5000000000000004,1.333333333333334,0.333333333333334,1.0000000000000004,0.666666666666667,2.833333333333334,1.1666666666666679,2.318181818181819,1.666666666666666,0.0,1.1515151515151505,2.166666666666666,0.633333333333334,1.7554112554112546
One path2-small-noise,2.6515151515151514,1.9848484848484846,2.3181818181818175,1.1515151515151516,1.4848484848484844,0.8181818181818181,1.8181818181818175,3.6515151515151514,2.3181818181818183,3.136363636363636,0.5151515151515156,1.1515151515151505,0.0,2.0151515151515147,1.6848484848484844,1.6038961038961035
Two paths,3.0,2.5,2.833333333333333,3.0,2.5,2.833333333333333,2.666666666666667,2.0,2.166666666666666,2.0151515151515147,2.0,2.166666666666666,2.0151515151515147,0.0,1.733333333333332,0.4588744588744595
Two paths-more-noise,1.866666666666668,0.9666666666666679,1.5333333333333343,1.866666666666668,0.9666666666666679,1.5333333333333343,0.9333333333333349,2.2,0.633333333333334,1.6848484848484846,2.2,0.633333333333334,1.6848484848484844,1.733333333333332,0.0,1.2744588744588725
Two paths-small-noise,2.6839826839826832,2.0887445887445883,2.4220779220779214,2.6839826839826832,2.0887445887445883,2.4220779220779214,2.207792207792208,2.0476190476190474,1.7554112554112544,1.6038961038961035,2.0476190476190474,1.7554112554112546,1.6038961038961035,0.4588744588744595,1.2744588744588725,0.0
