From To Probability
0 16 0.263261
0 8 0.105198
0 4 0.210401
0 2 0.315912
0 1 0.105229
1 17 0.284667
1 9 0.135856
1 5 0.164096
1 3 0.41538
2 18 0.340872
2 10 0.0736818
2 6 0.211642
2 3 0.373804
3 19 0.0586313
3 11 0.651559
3 7 0.28981
4 20 0.165378
4 12 0.312993
4 6 0.296689
4 5 0.22494
5 21 0.23121
5 13 0.287868
5 7 0.480922
6 22 0.0923195
6 14 0.405734
6 7 0.501946
7 23 0.935079
7 15 0.0649208
8 24 0.447772
8 12 0.294858
8 10 0.0864177
8 9 0.170952
9 25 0.56706
9 13 0.0813353
9 11 0.351604
10 26 0.074894
10 14 0.221245
10 11 0.703861
11 27 0.379106
11 15 0.620894
12 28 0.373436
12 14 0.345983
12 13 0.280581
13 29 0.978457
13 15 0.0215429
14 30 0.440269
14 15 0.559731
15 31 1
16 24 0.31023
16 20 0.112586
16 18 0.324178
16 17 0.253005
17 25 0.830045
17 21 0.124388
17 19 0.045567
18 26 0.428432
18 22 0.272074
18 19 0.299494
19 27 0.0370042
19 23 0.962996
20 28 0.556451
20 22 0.112025
20 21 0.331524
21 29 0.726339
21 23 0.273661
22 30 0.04871
22 23 0.95129
23 31 1
24 28 0.193302
24 26 0.0645875
24 25 0.742111
25 29 0.983255
25 27 0.0167454
26 30 0.566812
26 27 0.433188
27 31 1
28 30 0.019538
28 29 0.980462
29 31 1
30 31 1
