From To Probability
0 16 2.000000e-01
0 8 2.000000e-01
0 4 2.000000e-01
0 2 2.000000e-01
0 1 2.000000e-01
1 17 2.500000e-01
1 9 2.500000e-01
1 5 2.500000e-01
1 3 2.500000e-01
2 18 2.500000e-01
2 10 2.500000e-01
2 6 2.500000e-01
2 3 2.500000e-01
3 19 3.333333e-01
3 11 3.333333e-01
3 7 3.333333e-01
4 20 2.500000e-01
4 12 2.500000e-01
4 6 2.500000e-01
4 5 2.500000e-01
5 21 3.333333e-01
5 13 3.333333e-01
5 7 3.333333e-01
6 22 3.333333e-01
6 14 3.333333e-01
6 7 3.333333e-01
7 23 5.000000e-01
7 15 5.000000e-01
8 24 2.500000e-01
8 12 2.500000e-01
8 10 2.500000e-01
8 9 2.500000e-01
9 25 3.333333e-01
9 13 3.333333e-01
9 11 3.333333e-01
10 26 3.333333e-01
10 14 3.333333e-01
10 11 3.333333e-01
11 27 5.000000e-01
11 15 5.000000e-01
12 28 3.333333e-01
12 14 3.333333e-01
12 13 3.333333e-01
13 29 5.000000e-01
13 15 5.000000e-01
14 30 5.000000e-01
14 15 5.000000e-01
15 31 1.000000e+00
16 24 2.500000e-01
16 20 2.500000e-01
16 18 2.500000e-01
16 17 2.500000e-01
17 25 3.333333e-01
17 21 3.333333e-01
17 19 3.333333e-01
18 26 3.333333e-01
18 22 3.333333e-01
18 19 3.333333e-01
19 27 5.000000e-01
19 23 5.000000e-01
20 28 3.333333e-01
20 22 3.333333e-01
20 21 3.333333e-01
21 29 5.000000e-01
21 23 5.000000e-01
22 30 5.000000e-01
22 23 5.000000e-01
23 31 1.000000e+00
24 28 3.333333e-01
24 26 3.333333e-01
24 25 3.333333e-01
25 29 5.000000e-01
25 27 5.000000e-01
26 30 5.000000e-01
26 27 5.000000e-01
27 31 1.000000e+00
28 30 5.000000e-01
28 29 5.000000e-01
29 31 1.000000e+00
30 31 1.000000e+00
