From To Probability
0 16 2.331741e-01
0 8 2.793714e-01
0 4 1.073380e-01
0 2 2.920071e-01
0 1 8.810944e-02
1 17 9.681438e-03
1 9 8.786975e-02
1 5 6.931830e-01
1 3 2.092658e-01
2 18 1.772741e-01
2 10 6.792537e-06
2 6 3.966857e-01
2 3 4.260334e-01
3 19 2.864955e-03
3 11 8.315765e-07
3 7 9.971342e-01
4 20 8.305429e-01
4 12 1.694570e-01
4 6 9.782959e-08
4 5 1.142562e-09
5 21 3.928354e-01
5 13 6.071638e-01
5 7 7.986640e-07
6 22 9.999935e-01
6 14 6.524987e-06
6 7 8.749255e-09
7 23 9.999506e-01
7 15 4.942638e-05
8 24 8.506902e-08
8 12 1.119249e-01
8 10 5.555386e-01
8 9 3.325364e-01
9 25 3.151031e-09
9 13 6.448263e-01
9 11 3.551737e-01
10 26 3.199291e-08
10 14 2.046148e-01
10 11 7.953852e-01
11 27 1.005268e-09
11 15 1.000000e+00
12 28 6.140730e-01
12 14 3.771880e-01
12 13 8.739033e-03
13 29 8.619287e-02
13 15 9.138071e-01
14 30 9.170016e-01
14 15 8.299837e-02
15 31 1.000000e+00
16 24 9.986501e-01
16 20 4.098816e-05
16 18 6.449582e-04
16 17 6.639114e-04
17 25 9.976911e-01
17 21 8.407715e-04
17 19 1.468121e-03
18 26 7.171045e-03
18 22 4.473736e-02
18 19 9.480916e-01
19 27 7.746364e-03
19 23 9.922536e-01
20 28 1.000000e+00
20 22 3.567118e-10
20 21 1.421270e-11
21 29 1.000000e+00
21 23 8.127651e-10
22 30 9.999972e-01
22 23 2.826484e-06
23 31 1.000000e+00
24 28 1.132043e-02
24 26 3.250003e-01
24 25 6.636792e-01
25 29 2.388975e-01
25 27 7.611025e-01
26 30 1.286919e-02
26 27 9.871308e-01
27 31 1.000000e+00
28 30 9.267484e-01
28 29 7.325156e-02
29 31 1.000000e+00
30 31 1.000000e+00
