,data,Australia,Africa,Asia,Europe
0,00000000000000,,23.0,,90.0
1,00000000000001,,9.0,11.0,
2,00000000001000,,1.0,7.0,
3,00000000011000,,,28.0,
4,00000000011000,,,5.0,
5,00000000100000,30.0,30.0,3.0,
6,00000000100001,,2.0,,
7,00000000110000,2.0,,,
8,00000001000000,,,,1.0
9,00000001100000,1.0,,,
10,00000010000000,,10.0,,
11,00000010000001,,10.0,,
12,00000010000100,,1.0,,
13,00000010100000,12.0,9.0,,
14,00000010100001,,20.0,,
15,00000100000001,,1.0,,
16,00000110000000,,6.0,,
17,00000110000001,,12.0,,
18,00000110100110,2.0,,,
19,00001010100001,,1.0,,
20,00001110000001,,2.0,,
21,00010000000000,,2.0,,
22,00010001000000,,,,1.0
23,00010001100110,,,1.0,
24,00010100100100,,,2.0,
25,00010100100110,,,1.0,
26,00100000000000,,,,1.0
27,00100000100000,,2.0,,
28,00100000100000,,1.0,,
29,00100010000101,,,2.0,
30,00101000101000,,,3.0,
31,00110010000010,,,,1.0
32,00110100000000,,,,1.0
33,00110110110001,,1.0,,
34,00111101000000,,,,1.0
35,01000000000000,,1.0,,22.0
36,01000000000001,,1.0,,
37,01000000100000,,1.0,,
38,01000000100001,,1.0,,
39,01000010000000,,1.0,1.0,
40,01000010000001,,1.0,2.0,
41,01000010100000,,7.0,,
42,01000010100001,,8.0,,
43,01000110000001,,1.0,,
44,01100000000000,,,,1.0
45,01100000100000,,6.0,,
46,01100010100000,,1.0,,
47,01100100000000,,,,1.0
48,01100100100000,1.0,,,
49,01100101000000,,,,1.0
50,01110000000000,,,,1.0
51,01110010110001,,1.0,,
52,01110100000000,,,,3.0
53,01110110100000,,1.0,,
54,01110110100001,,2.0,,
55,01110110100001,,1.0,,
56,01110110110001,,1.0,,
57,01111101000000,,,,1.0
58,01111101101110,,,1.0,
59,01111110111001,,2.0,,
60,10000000100000,2.0,,,
61,10000010100000,2.0,,,
62,10000100000000,,,,1.0
63,10000110100000,5.0,,,
64,10000110100110,1.0,,,
65,10001110000001,,1.0,,
66,10010000000000,,,,1.0
67,10010000100000,,2.0,,
68,10010000100001,,1.0,,
69,10010000100100,,,7.0,
70,10010000100110,,,1.0,
71,10010001100100,,,1.0,
72,10010010000000,,,,1.0
73,10010010100000,,1.0,,
74,10010010100001,,2.0,,
75,10010100100100,,,13.0,
76,10010100100110,,,16.0,
77,10010101000000,,,,4.0
78,10010101100100,,,2.0,
79,10010101100110,,,6.0,
80,10010110000100,,1.0,,
81,10010110000101,,1.0,,
82,10011110110010,,1.0,,
83,10011111101110,,1.0,,
84,10011111101111,,1.0,,
85,10011111111111,,1.0,,
86,10100011100000,3.0,,,
87,10100011100010,3.0,,,
88,10100100000000,,,,1.0
89,10100111100010,3.0,,,
90,10100111100110,2.0,,,
91,10100111101110,5.0,,,
92,10101101000000,,,,1.0
93,10110000000000,,,,1.0
94,10110001000000,,,,5.0
95,10110010000000,,,,4.0
96,10110010100001,,1.0,,
97,10110100000000,,,,3.0
98,10110101000000,,,,2.0
99,10111001000000,,,,1.0
100,10111100101010,,,,1.0
101,10111100101010,,,,4.0
102,10111100111010,,,,2.0
103,10111101000000,,,,3.0
104,10111110111010,,,,1.0
105,10111110111010,,,,5.0
106,11000100000000,,,,2.0
107,11001111110110,,,10.0,
108,11010000000000,,,,2.0
109,11010000100000,,,,1.0
110,11010000100001,,3.0,,
111,11010001000000,,,,3.0
112,11010010100000,,13.0,,
113,11010010100001,,63.0,,
114,11010110000100,,3.0,,
115,11010111111111,,1.0,,
116,11011001000000,,,,6.0
117,11011101000000,,,,3.0
118,11011101110110,,,2.0,
119,11011101111111,,1.0,,
120,11011110010100,,1.0,,
121,11011111101110,,1.0,,
122,11011111101111,,2.0,,
123,11011111111110,,4.0,,
124,11011111111111,,9.0,,
125,11100000000000,,,,2.0
126,11100100100000,,,7.0,
127,11100100110000,,,4.0,
128,11100110100010,6.0,,,
129,11100111101110,6.0,,,
130,11101000101000,,,1.0,
131,11101001101000,,,6.0,
132,11101101000000,,,,1.0
133,11101111110110,,,4.0,
134,11110000000000,,,,5.0
135,11110001000000,,,,7.0
136,11110010100000,,8.0,,
137,11110010100001,,15.0,,
138,11110100000000,,,,39.0
139,11110100001000,,,,1.0
140,11110101000000,,,,25.0
141,11110110000100,,1.0,,
142,11110110010101,,1.0,,
143,11111001000000,,,,1.0
144,11111100101010,,,,1.0
145,11111100111010,,,,1.0
146,11111100111010,,,,2.0
147,11111101000000,,,,9.0
148,11111101111110,,,1.0,
149,11111101111111,,,2.0,
150,11111110101010,,,,1.0
151,11111110111010,,,,2.0
152,11111110111010,,,,6.0
153,11111111111110,,,1.0,
154,11111111111110,,,2.0,
155,11111111111111,,,1.0,
