,From,To,Probability
46080,0,256,1.48863632254905e-19
46081,0,128,1.36702730466435e-17
46082,0,64,0.0004272270511191
46083,0,32,0.999193673525299
46084,0,16,1.48863632254905e-19
46085,0,8,1.21922612358398e-10
46086,0,4,0.000202680427832
46087,0,2,1.48863632254905e-19
46088,0,1,0.0001764188738266
46089,1,257,1.5585740619456099e-30
46090,1,129,6.742090924236299e-19
46091,1,65,5.57474502497215e-19
46092,1,33,1.0
46093,1,17,1.5585740619456099e-30
46094,1,9,6.030491302188099e-19
46095,1,5,1.5210554422400999e-30
46096,1,3,1.5585740619456099e-30
46097,2,258,0.202166773960283
46098,2,130,9.32994088516281e-45
46099,2,66,0.165820291553731
46100,2,34,0.0652063561956907
46101,2,18,0.202166773960284
46102,2,10,0.186866478195163
46103,2,6,0.177773326134846
46104,2,3,1.84707222723886e-15
46105,3,259,0.200308614313826
46106,3,131,7.21600746427142e-31
46107,3,67,0.188011651835934
46108,3,35,0.0229726585061342
46109,3,19,0.200308614313827
46110,3,11,0.19400074261032
46111,3,7,0.194397718419958
46112,4,260,1.30569997949665e-16
46113,4,132,2.66608340448815e-14
46114,4,68,2.45042577519662e-14
46115,4,36,0.999999999999948
46116,4,20,1.30569997949665e-16
46117,4,12,1.22426421412255e-16
46118,4,6,1.30569997949665e-16
46119,4,5,1.32397040512617e-30
46120,5,261,0.199192766559871
46121,5,133,7.39399876710352e-31
46122,5,69,0.188568382245317
46123,5,37,0.0203943149513976
46124,5,21,0.199192766559871
46125,5,13,0.193459003123671
46126,5,7,0.199192766559871
46127,6,262,0.246782054043349
46128,6,134,7.49746166570232e-45
46129,6,70,0.217816196727004
46130,6,38,0.0568659048015282
46131,6,22,0.246782054043349
46132,6,14,0.231753790384768
46133,6,7,2.0198003521616202e-15
46134,7,263,0.246439973916712
46135,7,135,6.1866359363013605e-31
46136,7,71,0.231715854008958
46137,7,39,0.0366321587156174
46138,7,23,0.246439973916712
46139,7,15,0.238772039442
46140,8,264,2.28158027069192e-10
46141,8,136,1.03320195506905e-12
46142,8,72,0.559006505955542
46143,8,40,0.44099349315456
46144,8,24,2.28158027069192e-10
46145,8,12,2.03517944619192e-10
46146,8,10,2.28158027069192e-10
46147,8,9,8.72596529531622e-13
46148,9,265,5.01392855538854e-13
46149,9,137,0.522965819290317
46150,9,73,0.39107229390934
46151,9,41,0.0859618867983512
46152,9,25,5.01392855538854e-13
46153,9,13,4.87956710002773e-13
46154,9,11,5.01392855538853e-13
46155,10,266,0.24550612368634
46156,10,138,7.13262598382349e-45
46157,10,74,0.192617417444828
46158,10,42,0.0958939685329873
46159,10,26,0.24550612368634
46160,10,14,0.220476366649503
46161,10,11,1.9175905020535303e-15
46162,11,267,0.24734876838609
46163,11,139,6.19929539717096e-31
46164,11,75,0.226739087139505
46165,11,43,0.0393027471574227
46166,11,27,0.247348768386091
46167,11,15,0.239260628930891
46168,12,268,0.24716961899482
46169,12,140,7.99617879070384e-45
46170,12,76,0.209177242706714
46171,12,44,0.0493139003088249
46172,12,28,0.247169618994819
46173,12,14,0.24716961899482
46174,12,13,2.0921463829973e-15
46175,13,269,0.245848796621733
46176,13,141,6.3699962676991305e-31
46177,13,77,0.228286659320577
46178,13,45,0.0341669508142253
46179,13,29,0.245848796621733
46180,13,15,0.245848796621733
46181,14,270,0.313833096861586
46182,14,142,5.39182958867305e-45
46183,14,78,0.266605801225551
46184,14,46,0.105728005051275
46185,14,30,0.313833096861586
46186,14,15,2.08096639347564e-15
46187,15,271,0.319763505776796
46188,15,143,5.1820438865113995e-31
46189,15,79,0.29415111833939
46190,15,47,0.0663218701070183
46191,15,31,0.319763505776796
46192,16,272,0.202166773960284
46193,16,144,9.32994088516278e-45
46194,16,80,0.165820291553732
46195,16,48,0.0652063561956909
46196,16,24,0.186866478195163
46197,16,20,0.177773326134846
46198,16,18,0.202166773960284
46199,16,17,1.8470722272388502e-15
46200,17,273,0.200308614313827
46201,17,145,7.21600746427142e-31
46202,17,81,0.188011651835933
46203,17,49,0.0229726585061342
46204,17,25,0.194000742610321
46205,17,21,0.194397718419959
46206,17,19,0.200308614313827
46207,18,274,0.244705443862633
46208,18,146,6.59281776016392e-45
46209,18,82,0.20352130147359
46210,18,50,0.107842090663904
46211,18,26,0.226925838553594
46212,18,22,0.217005325446278
46213,18,19,1.83009537684196e-15
46214,19,275,0.248061469870694
46215,19,147,6.004074836380581e-31
46216,19,83,0.230843911512802
46217,19,51,0.0423672621519675
46218,19,27,0.239559566197535
46219,19,23,0.239167790267001
46220,20,276,0.246782054043349
46221,20,148,7.4974616657023e-45
46222,20,84,0.217816196727004
46223,20,52,0.0568659048015284
46224,20,28,0.231753790384768
46225,20,22,0.246782054043349
46226,20,21,2.0198003521616202e-15
46227,21,277,0.246439973916712
46228,21,149,6.186635936301351e-31
46229,21,85,0.231715854008958
