From,To,P,F,label
0,1,0.333333333333333,0.333333333333333,Null
0,2,0.333333333333333,0.333333333333333,Null
0,4,0.333333333333333,0.333333333333333,Null
1,3,0.5,0.166666666666667,Null
1,5,0.5,0.166666666666667,Null
2,3,0.5,0.166666666666667,Null
2,6,0.5,0.166666666666667,Null
4,5,0.5,0.166666666666667,Null
4,6,0.5,0.166666666666667,Null
3,7,1,0.333333333333333,Null
5,7,1,0.333333333333333,Null
6,7,1,0.333333333333333,Null
0,1,1,1,One path
0,2,0,0,One path
0,4,0,0,One path
1,3,1,1,One path
1,5,0,0,One path
2,3,0.5,0,One path
2,6,0.5,0,One path
4,5,0.5,0,One path
4,6,0.5,0,One path
3,7,1,1,One path
5,7,1,0,One path
6,7,1,0,One path
0,1,0.833333333333333,0.833333333333333,One path-small-noise
0,2,0.0833333333333333,0.0833333333333333,One path-small-noise
0,4,0.0833333333333333,0.0833333333333333,One path-small-noise
1,3,0.909090909090909,0.757575757575758,One path-small-noise
1,5,0.0909090909090909,0.0757575757575758,One path-small-noise
2,3,0.5,0.0416666666666667,One path-small-noise
2,6,0.5,0.0416666666666667,One path-small-noise
4,5,0.5,0.0416666666666667,One path-small-noise
4,6,0.5,0.0416666666666667,One path-small-noise
3,7,1,0.799242424242424,One path-small-noise
5,7,1,0.117424242424242,One path-small-noise
6,7,1,0.0833333333333333,One path-small-noise
0,1,0.5,0.5,One path-more-noise
0,2,0.25,0.25,One path-more-noise
0,4,0.25,0.25,One path-more-noise
1,3,0.666666666666667,0.333333333333333,One path-more-noise
1,5,0.333333333333333,0.166666666666667,One path-more-noise
2,3,0.5,0.125,One path-more-noise
2,6,0.5,0.125,One path-more-noise
4,5,0.5,0.125,One path-more-noise
4,6,0.5,0.125,One path-more-noise
3,7,1,0.458333333333333,One path-more-noise
5,7,1,0.291666666666667,One path-more-noise
6,7,1,0.25,One path-more-noise
0,1,0.5,0.5,Two paths
0,2,0,0,Two paths
0,4,0.5,0.5,Two paths
1,3,1,0.5,Two paths
1,5,0,0,Two paths
2,3,0.5,0,Two paths
2,6,0.5,0,Two paths
4,5,0,0,Two paths
4,6,1,0.5,Two paths
3,7,1,0.5,Two paths
5,7,1,0,Two paths
6,7,1,0.5,Two paths
