,Norway,India,Eritrea,Iran,Finland,Viet Nam,Sudan,Belgium,Ethiopia,South Africa,Malaysia,Taiwan,Germany,Philippines,Kenya,Somalia,Hong Kong,Lebanon,Ireland,Ghana,Ecuador,Uganda,Canada,Italy,Guatemala,Serbia,Djibouti,South Korea,United Kingdom,Peru,Mali,China,Bulgaria,Nepal,Brazil,Belarus,Spain,Oman,Colombia,Madagascar,Thailand,Swaziland,Czech Republic,Georgia,Australia,Pakistan,Denmark,Turkmenistan,Uzbekistan,USA,Russia,Sweden,Netherlands
Norway,[0.0],[14.002252343263503],[12.003247735358306],[16.06947586528328],[14.81163194444421],[14.80257161458324],[11.70585317460292],[13.934328098260172],[5.367745535714091],[14.136145812378865],[14.171308526982992],[13.990234374999726],[15.295395018223113],[14.087611607142533],[14.087611607142533],[14.252953226884358],[14.087611607142533],[14.087611607142533],[14.81163194444421],[13.408451140872762],[14.802571614583139],[14.087611607142533],[14.393628758073623],[14.318579211596834],[14.087611607142533],[15.626491580945753],[9.723616035706078],[10.387678535706081],[14.415629524448693],[14.616603562713175],[7.169245260726748],[11.937093810129417],[8.828765466895087],[14.087611607142533],[14.81163194444421],[15.627147012131443],[15.586452535731569],[14.802571614583131],[14.81163194444421],[14.087611607142533],[15.771484374999998],[13.734305467915487],[15.081655231948055],[13.990234374999721],[15.218913578554279],[14.199265177458802],[11.355158730158598],[14.802571614583131],[15.589826265975102],[7.859564057313645],[14.601066138347019],[15.47569444444421],[15.06908833752242]
India,[14.002252343263503],[0.0],[16.372038231014198],[16.528040953263833],[11.758119682942684],[12.28368359347642],[13.94591931060307],[14.562587604945428],[15.279189148604821],[13.19032764342755],[9.743038664745248],[13.487585977269786],[14.822401155395793],[11.102953476442362],[11.102953476442362],[16.661678597337232],[11.102953476442362],[11.102953476442362],[11.758119682942684],[12.814835503801635],[11.755988088677103],[11.102953476442362],[13.71148013008321],[14.222361009219561],[11.102953476442362],[15.06209191228032],[12.317983549314961],[13.031520592112866],[13.088338892173299],[14.154103927338717],[15.01622278989703],[12.967935778128744],[12.354604200542568],[11.102953476442362],[11.758119682942684],[15.845760739777328],[14.44735929446536],[10.277868146626698],[11.758119682942684],[11.102953476442362],[11.214321575300067],[16.03568031608768],[12.419012393959408],[12.984096179992067],[14.46917339254999],[13.9211751088153],[14.584479375148652],[10.277868146626698],[14.65198303526991],[13.679667868655587],[13.83322612211137],[12.130728475970653],[13.525976802066]
Eritrea,[12.003247735358306],[16.372038231014198],[0.0],[14.07267108041045],[16.397401810034676],[16.395387456116108],[12.325909933433078],[15.646975801897794],[6.662924788547267],[14.375619070909613],[15.462447018958997],[15.330939672355953],[15.509738174211064],[15.125943206316935],[15.125943206316935],[5.596472987299179],[15.125943206316935],[15.125943206316935],[16.397401810034676],[14.240531310221375],[16.395387456115987],[15.125943206316935],[14.648251576042389],[14.89764354111086],[15.125943206316935],[16.662476896911723],[11.527342641862052],[11.52734264186206],[14.887885274066857],[14.276388407836162],[8.90673135306086],[13.027060957479781],[14.45010937971276],[15.125943206316935],[16.397401810034676],[16.451885914040925],[14.880854439665066],[16.395387456116005],[16.397401810034676],[15.125943206316935],[17.18728915621937],[14.348286804873744],[15.595252213175035],[15.330939672355955],[15.634477369705285],[14.841995644348371],[12.327560789087785],[16.395387456116005],[16.832553035157755],[11.920330620000653],[14.904688948983395],[15.730939672355799],[13.99927683603297]
Iran,[16.06947586528328],[16.528040953263833],[14.07267108041045],[0.0],[16.761922143532686],[17.401126039804357],[14.738538607078787],[16.153566303942902],[14.687717822762801],[15.212802485616105],[16.10188576677119],[16.698676771651776],[15.428955253591322],[16.49508624196271],[16.49508624196271],[13.190255591833376],[16.49508624196271],[16.49508624196271],[16.761922143532686],[16.761922143532693],[16.76013908217534],[16.49508624196271],[14.483091662826611],[15.380515836128229],[16.49508624196271],[16.744011980149143],[15.484416586132888],[15.853690053057411],[14.817561949352262],[15.102505256011948],[13.813376779664194],[13.696585945417203],[16.792363847905172],[16.49508624196271],[16.761922143532686],[13.192684527267762],[15.956882456594187],[16.780815159458328],[16.761922143532686],[16.49508624196271],[17.65446758631822],[15.23688090712614],[17.02948491611264],[16.698676771651776],[16.13549903050943],[13.665846599193298],[16.695479004261266],[16.780815159458328],[15.337975708420576],[16.15217754400524],[14.471694458623931],[16.761922143532686],[14.113824007409253]
Finland,[14.81163194444421],[11.758119682942684],[16.397401810034676],[16.761922143532686],[0.0],[10.998806423610805],[13.999999999999739],[15.301195845157496],[15.499999999999876],[14.034577595856456],[12.728096762253125],[9.749999999999913],[13.991456866010248],[9.777777777777626],[9.777777777777626],[16.397105445384298],[9.777777777777626],[9.777777777777626],[0.0],[10.999999999999709],[0.009548611111080687],[9.777777777777626],[14.38105019596902],[15.382576926128216],[9.777777777777626],[14.090468712633818],[7.750698572371865],[12.900765345004459],[14.293047618859518],[14.583637125316331],[14.981881575374734],[13.97787524418194],[14.021364412526506],[9.777777777777626],[0.0],[14.883535723655939],[13.70226759140302],[10.998806423610812],[0.0],[9.777777777777626],[15.47569444444421],[14.990185504679605],[10.338702267376679],[9.749999999999913],[14.775304653168732],[14.345454552874328],[13.989800347221957],[10.998806423610812],[14.456852446718807],[11.619088588355773],[14.868297892335876],[2.0],[13.574772554074125]
Viet Nam,[14.80257161458324],[12.28368359347642],[16.395387456116108],[17.401126039804357],[10.998806423610805],[0.0],[13.998860677083163],[16.19015970680047],[15.498674665178418],[15.854266238268615],[13.249634606107428],[13.998860677083163],[17.45664671836123],[9.768229166666368],[9.768229166666368],[16.993864016136275],[9.768229166666368],[9.768229166666368],[10.998806423610805],[10.998806423610802],[10.989257812499787],[9.768229166666368],[16.102480446339595],[15.962061410945358],[9.768229166666368],[17.06674490746843],[12.89422894627933],[12.894228946279329],[15.711662416741811],[16.45188864607741],[14.979870391176632],[13.581492631383878],[13.288034189029085],[9.768229166666368],[10.998806423610805],[17.69939968913152],[16.095701518003953],[10.989257812499773],[10.998806423610805],[9.768229166666368],[15.466634114583236],[17.234342121646495],[12.874271488033854],[13.998860677083158],[17.02480927430931],[15.267969089734336],[13.981228298611057],[10.989257812499773],[17.4984076603693],[14.14000455715545],[16.52808205773044],[10.998806423610805],[15.916843144045643]
Sudan,[11.70585317460292],[13.94591931060307],[12.325909933433078],[14.738538607078787],[13.999999999999739],[13.998860677083163],[0.0],[14.906546319718032],[9.71428571428569],[14.278708870156917],[11.285211313606233],[10.999999999999895],[16.4061695377912],[12.833333333332922],[12.833333333332922],[13.629752090578185],[12.833333333332922],[12.833333333332922],[13.999999999999739],[13.999999999999748],[13.99886067708306],[12.833333333332922],[14.478583242747293],[14.56361343084584],[12.833333333332922],[15.815464914446858],[10.29755191209259],[10.29755191209264],[14.085469683542504],[14.113490881951861],[9.014302507753778],[12.058827199443144],[12.677939567462479],[12.833333333332922],[13.999999999999739],[16.86259996110235],[13.828991959563211],[13.99886067708307],[13.999999999999739],[12.833333333332922],[15.985026041666357],[16.263047032384108],[14.666014681993662],[14.666666666666455],[15.857230288491467],[14.425976783164131],[11.003580729166488],[13.99886067708307],[16.527252627512578],[9.353060168451778],[14.704160448604002],[12.999999999999762],[13.84712209857107]
Belgium,[13.934328098260172],[14.562587604945428],[15.646975801897794],[16.153566303942902],[15.301195845157496],[16.19015970680047],[14.906546319718032],[0.0],[14.891637959287646],[14.6552096387008],[14.485958226693947],[14.620832034003618],[14.274064578349309],[15.605382211691161],[15.605382211691161],[14.925625642367299],[15.605382211691161],[15.605382211691161],[15.301195845157496],[16.249252992786577],[15.301207470901135],[15.605382211691161],[14.235342767404674],[10.789022500159085],[15.605382211691161],[13.76928869979527],[15.017866753846924],[15.685086467626355],[13.25037382768255],[14.69423387004543],[15.615005397580209],[14.66932705637365],[15.428645867301151],[15.605382211691161],[15.301195845157496],[15.367700746512446],[13.97254233899749],[15.79073547955169],[15.301195845157496],[15.605382211691161],[16.14626875070301],[14.287775449755708],[16.305352098808275],[16.222805431445373],[14.48055434857173],[14.492349928895125],[15.583737781409896],[15.79073547955169],[14.776474621671502],[14.959205870884496],[13.88705754664389],[14.565230964647132],[13.296058544692029]
Ethiopia,[5.367745535714091],[15.279189148604821],[6.662924788547267],[14.687717822762801],[15.499999999999876],[15.498674665178418],[9.71428571428569],[14.891637959287646],[0.0],[13.597866479717473],[14.033331155964863],[13.999999999999964],[15.968824326391825],[14.142857142856549],[14.142857142856549],[8.921979980322359],[14.142857142856549],[14.142857142856549],[15.499999999999876],[12.76190476190464],[15.498674665178404],[14.142857142856549],[13.751755289071879],[13.891147717665246],[14.142857142856549],[15.624050836039844],[7.752923117120399],[7.752923117120397],[14.189771015959156],[13.227723284478015],[3.9200659166163994],[11.120826370505018],[10.911375014143992],[14.142857142856549],[15.499999999999876],[16.79063526898787],[14.925920791445503],[15.498674665178417],[15.499999999999876],[14.142857142856549],[16.490792410713933],[14.145824700006276],[14.443233618242242],[13.999999999999964],[14.968234709823871],[13.971120526360485],[9.720005580357006],[15.498674665178417],[16.356860905161238],[6.711013454566842],[14.316779324177407],[14.8333333333332],[13.881107631465598]
South Africa,[14.136145812378865],[13.19032764342755],[14.375619070909613],[15.212802485616105],[14.034577595856456],[15.854266238268615],[14.278708870156917],[14.6552096387008],[13.597866479717473],[0.0],[12.559565330819934],[14.463250388717604],[13.889374864959077],[13.595571499066804],[13.595571499066804],[14.642775098880536],[13.595571499066804],[13.595571499066804],[14.034577595856456],[14.65951703440048],[14.033540629897672],[13.595571499066804],[12.219070641824867],[13.950355257249596],[13.595571499066804],[14.82334195774053],[12.53546176825058],[13.509371106745654],[11.98001653436822],[12.421765985490758],[14.102892277320832],[13.58775164186156],[13.758705235642232],[13.595571499066804],[14.034577595856456],[15.56365577873818],[14.990256940424798],[14.412062891179682],[14.034577595856456],[13.595571499066804],[14.687220039482279],[13.466793150125255],[14.888863979651362],[14.684140455955243],[14.44651669441401],[12.627155244221921],[14.602175561296628],[14.412062891179682],[15.205641971476402],[13.92563842093],[11.994518765056156],[14.096517142135541],[12.36700144311653]
Malaysia,[14.171308526982992],[9.743038664745248],[15.462447018958997],[16.10188576677119],[12.728096762253125],[13.249634606107428],[11.285211313606233],[14.485958226693947],[14.033331155964863],[12.559565330819934],[0.0],[11.285211313606196],[14.830084887829484],[11.582502667275941],[11.582502667275941],[15.661836259556015],[11.582502667275941],[11.582502667275941],[12.728096762253125],[14.673697389335418],[12.719389855011118],[11.582502667275941],[13.30195671980227],[13.820066450844358],[11.582502667275941],[14.421533790437747],[12.249063005784627],[12.187450011249782],[12.409518221797333],[13.771534382285127],[13.996291664125886],[12.31036168059979],[11.535282165345853],[11.582502667275941],[12.728096762253125],[15.43007790877238],[13.355823525052948],[13.249634606107332],[12.728096762253125],[11.582502667275941],[11.58027194906453],[15.041068930074111],[13.288308633946027],[14.420939752215402],[15.008228221558397],[13.580443879027206],[14.402086756734718],[13.249634606107332],[14.460546531981784],[13.427962802516324],[13.160064828070746],[12.728096762253125],[13.16565173757154]
