,Belarus,Germany,Eritrea,Nepal,Taiwan,Lebanon,South Korea,Pakistan,United Kingdom,Norway,India,Brazil,Peru,Viet Nam,Ireland,Turkmenistan,Uzbekistan,Sudan,Ghana,Russia,Sweden,Djibouti,Australia,Madagascar,Bulgaria,Hong Kong,Serbia,Kenya,Finland,Canada,Ethiopia,Georgia,Italy,Uganda,Philippines,South Africa,Ecuador,Czech Republic,Malaysia,Thailand,Netherlands,China,Iran,Mali,USA,Denmark,Guatemala,Spain,Belgium,Oman,Swaziland,Somalia,Colombia
Belarus,[0.0],[248.9573124286662],[293.6997381780791],[297.76463964246466],[296.31665329237336],[297.76463964246466],[297.8497976549331],[447.61803340073413],[452.94573774987623],[297.8482969340117],[308.9564578008631],[296.708021502673],[575.7269081265933],[298.20892369435614],[296.708021502673],[297.7116189175513],[349.3889896371386],[296.9980860024737],[298.20979182467926],[447.5022949048211],[296.708021502673],[296.85025490230396],[275.56834397520953],[297.76463964246466],[312.2100688172934],[297.76463964246466],[458.39494775922367],[297.76463964246466],[296.708021502673],[382.9565614599021],[297.8501957830356],[298.32136408079293],[399.3032536899254],[297.76463964246466],[297.76463964246466],[498.81816254316135],[296.7073703114739],[302.09448111995346],[308.10622190070836],[305.4602456590846],[373.26868040978906],[287.94365103553974],[219.47035973385314],[299.5685642123373],[297.1378246345817],[299.1893115000632],[297.76463964246466],[414.82491175585295],[373.60277614344477],[297.7116189175513],[245.8054239958511],[275.649888879285],[296.708021502673]
Germany,[248.9573124286662],[0.0],[300.48389167346204],[302.3215786436371],[300.79439728144996],[302.3215786436371],[302.78862648464957],[434.11599802532214],[411.12100598788237],[302.78611247498094],[291.04587648133696],[301.6430731259007],[509.86828692325474],[303.05824767613404],[301.6430731259007],[302.9119112703662],[271.466872482216],[303.5591282899705],[302.76837548843883],[437.04039146192855],[301.6430731259007],[301.7890837320205],[228.41161367852987],[302.3215786436371],[304.68672047640445],[302.3215786436371],[412.2344611709276],[302.3215786436371],[301.6430731259007],[348.11394041565745],[302.7890092204634],[302.3070410436696],[362.2300913915196],[302.3215786436371],[302.3215786436371],[465.06979071950707],[301.6423805817833],[303.6586751969915],[305.52191364103555],[296.37512893663535],[303.67577225365403],[291.4738374945496],[296.6717963743417],[301.32317889909734],[302.54027284985705],[303.5167058865714],[302.3215786436371],[386.24478571523593],[362.1760566826367],[302.9119112703662],[199.78780775997447],[286.6732677082122],[301.6430731259007]
Eritrea,[293.6997381780791],[300.48389167346204],[0.0],[23.17241706512349],[25.42384895634049],[23.17241706512349],[13.2039634103667],[451.4117626444085],[496.7732923295482],[12.211575570987808],[54.38434487309895],[23.839697318753622],[487.49472478800357],[23.838829263198065],[23.839697318753622],[23.838829263198065],[253.32826192260356],[21.508614369193076],[23.173235181074777],[490.97857026547103],[23.839697318753622],[13.2039634103667],[239.24929465222945],[23.17241706512349],[57.0531006491584],[23.17241706512349],[454.19790900884556],[23.17241706512349],[23.839697318753622],[265.98016949067613],[12.204820196555687],[25.42384895634049],[452.1561003460922],[23.17241706512349],[23.17241706512349],[450.9749854910085],[23.838829263198065],[28.92274728670772],[47.614225391475856],[33.47178191114233],[273.2970695596269],[32.09340358427811],[186.79480506687864],[15.28202331876677],[15.71840265210541],[21.507311625526242],[23.17241706512349],[222.12660529039672],[409.83985263165414],[23.838829263198065],[283.33238328574964],[21.5740045841458],[23.839697318753622]
Nepal,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
Taiwan,[296.31665329237336],[300.79439728144996],[25.42384895634049],[5.055555555555555],[0.0],[5.055555555555555],[13.558090074887666],[451.7747623382982],[497.7703649110385],[13.221135588693667],[38.18504939493973],[4.5],[494.15071529417474],[5.499565972222222],[4.5],[5.499565972222221],[249.59057350474637],[6.5],[5.5],[493.5151372695501],[4.5],[12.558547322258493],[248.43905588178822],[5.055555555555555],[53.32891609383511],[5.055555555555555],[451.5630050103239],[5.055555555555555],[4.5],[266.30416715169054],[13.226190476190473],[6.5],[455.66642685904486],[5.055555555555555],[5.055555555555555],[451.2564480386695],[4.499782986111112],[10.99598320838615],[30.202520980090526],[15.133566234907764],[274.6417182541842],[24.814819335638667],[188.5536896333797],[18.57067439950631],[12.637435170032317],[6.500215693221884],[5.055555555555555],[225.3763674719007],[414.15946963945237],[5.499565972222221],[283.45137921907883],[45.76499031114892],[4.5]
Lebanon,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
South Korea,[297.8497976549331],[302.78862648464957],[13.2039634103667],[10.751696174400307],[13.558090074887666],[10.751696174400307],[0.0],[451.24882552566913],[496.4053458895726],[1.0045670775050497],[42.18411382869556],[11.640991505396599],[491.4351840286327],[11.63971700773364],[11.640991505396599],[11.63971700773364],[253.76212022756135],[9.975900011003146],[11.30781058785354],[492.4249502900084],[11.640991505396599],[0.9995427526291725],[243.22594307183252],[10.751696174400307],[46.74362812568627],[10.751696174400307],[456.0592357078718],[10.751696174400307],[11.640991505396599],[264.81572175338636],[1.0019164427239655],[13.558090074887666],[451.4130990308466],[10.751696174400307],[10.751696174400307],[450.3389934896397],[11.63971700773364],[16.7235395023577],[35.16413740967433],[20.608352687085866],[273.9942562677501],[21.55813672062896],[188.74137088826384],[10.11780568221444],[3.8502087459287284],[9.973391924611358],[10.751696174400307],[226.0968658728319],[411.32344721622417],[11.63971700773364],[285.6352599935811],[34.77351427346753],[11.640991505396599]
Pakistan,[447.61803340073413],[434.11599802532214],[451.4117626444085],[450.8556963858892],[451.7747623382982],[450.8556963858892],[451.24882552566913],[0.0],[319.55486220816374],[451.1363432491044],[448.40552449048704],[451.43311954198185],[495.0130632968195],[451.42737618643906],[451.43311954198185],[451.89280173055425],[443.4710563121037],[451.9304707085499],[451.43186408397986],[446.1119904783557],[451.43311954198185],[450.93734936695506],[379.6168057245005],[450.8556963858892],[453.4035668214382],[450.8556963858892],[359.16820669291076],[450.8556963858892],[451.43311954198185],[369.67969147965925],[451.1411393107001],[451.84032718251984],[341.84176363075125],[450.8556963858892],[450.8556963858892],[416.59952193624304],[451.43224106050826],[453.045567818473],[454.2901792157458],[450.72471850812514],[461.04426260441494],[449.40716436404006],[437.46598507856146],[451.93997423445745],[452.3488990934757],[451.9412666407604],[450.8556963858892],[380.9392764857829],[359.2846743921207],[451.89280173055425],[368.6871181009218],[444.35427417645843],[451.43311954198185]
United Kingdom,[452.94573774987623],[411.12100598788237],[496.7732923295482],[495.2152017750438],[497.7703649110385],[495.2152017750438],[496.4053458895726],[319.55486220816374],[0.0],[496.65023121452737],[490.50708312603103],[496.74043725215336],[526.9595806204173],[496.74514381718524],[496.74043725215336],[496.73475830138665],[468.20712270093225],[497.39531053672016],[496.742694655896],[393.52374275249986],[496.74043725215336],[496.4039816746874],[407.8025246272626],[495.2152017750438],[489.4885045905031],[495.2152017750438],[321.08085359682354],[495.2152017750438],[496.74043725215336],[406.4917607021828],[496.6576492350376],[497.990322671588],[308.03743461338206],[495.2152017750438],[495.2152017750438],[425.4921655226561],[496.73891807915834],[498.91191995044335],[487.4270116540381],[493.64941998273275],[421.13493503273594],[493.90347781272806],[474.2446144586536],[495.790333349873],[497.86599597900073],[497.47302115684107],[495.2152017750438],[424.55667805498007],[320.9130526207651],[496.73475830138665],[382.40672449822046],[495.1903906273186],[496.74043725215336]
Norway,[297.8482969340117],[302.78611247498094],[12.211575570987808],[10.963427346018872],[13.221135588693667],[10.963427346018872],[1.0045670775050497],[451.1363432491044],[496.65023121452737],[0.0],[42.17981207391126],[11.634434290463314],[491.126404609061],[11.632698179352204],[11.634434290463314],[11.632698179352204],[253.85961636521643],[9.311315908537004],[10.970371790463314],[492.6926443565063],[11.634434290463314],[1.0045670775050488],[242.8940485796036],[10.963427346018872],[46.08335458076183],[10.963427346018872],[455.72585610704],[10.963427346018872],[11.634434290463314],[265.0992956685601],[0.0127631301716058],[13.221135588693663],[451.4451819753509],[10.963427346018872],[10.963427346018872],[450.17894343724953],[11.632698179352204],[16.71703309258436],[35.40587348073072],[21.26279219203773],[273.5930364444065],[21.223369512626707],[188.40538098279657],[9.455316035824818],[3.5204749837841955],[9.306756305703074],[10.963427346018872],[226.09543788650362],[410.79589000956673],[11.632698179352204],[285.3028809977291],[33.77945474721552],[11.634434290463314]
