From To Probability
0 16 1.274693e-01
0 8 2.160948e-01
0 4 4.098381e-01
0 2 1.019190e-01
0 1 1.446788e-01
1 17 8.267003e-03
1 9 2.702066e-01
1 5 1.065029e-01
1 3 6.150235e-01
2 18 9.480609e-01
2 10 1.917001e-02
2 6 3.247148e-02
2 3 2.976257e-04
3 19 6.548422e-01
3 11 2.552889e-01
3 7 8.986887e-02
4 20 1.335910e-01
4 12 4.032008e-01
4 6 1.058799e-01
4 5 3.573283e-01
5 21 7.522459e-03
5 13 4.377368e-01
5 7 5.547408e-01
6 22 9.645630e-01
6 14 3.472339e-02
6 7 7.136014e-04
7 23 5.902958e-01
7 15 4.097042e-01
8 24 4.142972e-01
8 12 1.667791e-02
8 10 5.105628e-01
8 9 5.846210e-02
9 25 8.633608e-03
9 13 1.392607e-03
9 11 9.899738e-01
10 26 9.995324e-01
10 14 4.286329e-04
10 11 3.901165e-05
11 27 9.982847e-01
11 15 1.715338e-03
12 28 3.915223e-01
12 14 4.782780e-01
12 13 1.301997e-01
13 29 8.721231e-03
13 15 9.912788e-01
14 30 9.999080e-01
14 15 9.197047e-05
15 31 1.000000e+00
16 24 1.718494e-02
16 20 1.634439e-01
16 18 1.946021e-02
16 17 7.999110e-01
17 25 1.184620e-01
17 21 2.341516e-01
17 19 6.473864e-01
18 26 9.457348e-02
18 22 8.033442e-01
18 19 1.020823e-01
19 27 3.616183e-01
19 23 6.383817e-01
20 28 1.581166e-02
20 22 9.969155e-03
20 21 9.742192e-01
21 29 2.473566e-01
21 23 7.526434e-01
22 30 4.117286e-01
22 23 5.882714e-01
23 31 1.000000e+00
24 28 1.556313e-02
24 26 2.281082e-01
24 25 7.563286e-01
25 29 2.929507e-03
25 27 9.970705e-01
26 30 4.421264e-01
26 27 5.578736e-01
27 31 1.000000e+00
28 30 1.125787e-01
28 29 8.874213e-01
29 31 1.000000e+00
30 31 1.000000e+00
