From To Probability
0 16 4.335083e-01
0 8 3.887519e-06
0 4 7.443393e-03
0 2 4.927644e-04
0 1 5.585517e-01
1 17 2.867618e-05
1 9 2.004033e-10
1 5 9.999713e-01
1 3 8.759722e-10
2 18 8.935675e-01
2 10 4.229249e-02
2 6 3.720542e-05
2 3 6.410282e-02
3 19 1.168249e-02
3 11 4.309034e-04
3 7 9.878866e-01
4 20 9.842721e-03
4 12 5.579688e-06
4 6 1.283116e-08
4 5 9.901517e-01
5 21 9.995584e-01
5 13 4.415819e-04
5 7 3.501758e-08
6 22 1.042425e-01
6 14 3.118891e-01
6 7 5.838685e-01
7 23 3.001513e-01
7 15 6.998487e-01
8 24 9.999915e-01
8 12 5.494656e-10
8 10 2.169974e-08
8 9 8.445451e-06
9 25 9.988853e-01
9 13 1.114686e-03
9 11 5.825068e-10
10 26 9.999995e-01
10 14 1.332445e-12
10 11 4.702298e-07
11 27 9.999973e-01
11 15 2.706082e-06
12 28 9.993410e-01
12 14 2.487030e-11
12 13 6.589628e-04
13 29 1.000000e+00
13 15 6.687971e-13
14 30 9.999633e-01
14 15 3.671259e-05
15 31 1.000000e+00
16 24 3.494961e-04
16 20 2.977049e-05
16 18 9.955059e-01
16 17 4.114841e-03
17 25 4.502750e-06
17 21 9.995532e-01
17 19 4.422809e-04
18 26 9.998758e-01
18 22 3.913220e-08
18 19 1.241880e-04
19 27 9.074464e-01
19 23 9.255363e-02
20 28 6.413027e-02
20 22 3.314011e-03
20 21 9.325557e-01
21 29 9.982212e-01
21 23 1.778838e-03
22 30 9.998466e-01
22 23 1.533798e-04
23 31 1.000000e+00
24 28 5.005881e-08
24 26 9.985827e-01
24 25 1.417221e-03
25 29 7.911644e-01
25 27 2.088356e-01
26 30 1.538381e-06
26 27 9.999985e-01
27 31 1.000000e+00
28 30 1.024385e-02
28 29 9.897562e-01
29 31 1.000000e+00
30 31 1.000000e+00
