From To Probability
0 16 3.314914e-02
0 8 2.747293e-01
0 4 3.417577e-04
0 2 8.063237e-03
0 1 6.837165e-01
1 17 1.105421e-01
1 9 8.894578e-01
1 5 2.541813e-09
1 3 1.600195e-07
2 18 2.210023e-08
2 10 4.208745e-07
2 6 3.303186e-10
2 3 9.999996e-01
3 19 5.131019e-02
3 11 9.486898e-01
3 7 1.710447e-09
4 20 1.230855e-05
4 12 2.255008e-01
4 6 3.263400e-01
4 5 4.481469e-01
5 21 5.621673e-05
5 13 9.999349e-01
5 7 8.870274e-06
6 22 1.251950e-11
6 14 5.270493e-07
6 7 9.999995e-01
7 23 2.446585e-05
7 15 9.999755e-01
8 24 2.617292e-06
8 12 8.162054e-02
8 10 6.570882e-02
8 9 8.526680e-01
9 25 8.203693e-01
9 13 5.705933e-02
9 11 1.225713e-01
10 26 1.399178e-12
10 14 6.325728e-08
10 11 9.999999e-01
11 27 9.084021e-01
11 15 9.159790e-02
12 28 3.019682e-10
12 14 8.263404e-01
12 13 1.736596e-01
13 29 6.139989e-05
13 15 9.999386e-01
14 30 7.926170e-16
14 15 1.000000e+00
15 31 1.000000e+00
16 24 7.316151e-01
16 20 1.108091e-02
16 18 2.535891e-01
16 17 3.714897e-03
17 25 9.999978e-01
17 21 3.479341e-08
17 19 2.124663e-06
18 26 2.062383e-04
18 22 1.970740e-06
18 19 9.997918e-01
19 27 1.000000e+00
19 23 2.195154e-08
20 28 5.526393e-02
20 22 9.445120e-01
20 21 2.240821e-04
21 29 9.998952e-01
21 23 1.047522e-04
22 30 2.582535e-04
22 23 9.997417e-01
23 31 1.000000e+00
24 28 5.609666e-01
24 26 4.380513e-01
24 25 9.820441e-04
25 29 3.242904e-01
25 27 6.757096e-01
26 30 3.773403e-04
26 27 9.996227e-01
27 31 1.000000e+00
28 30 9.999637e-01
28 29 3.630560e-05
29 31 1.000000e+00
30 31 1.000000e+00
