From To Probability
0 16 9.153519e-08
0 8 9.990581e-01
0 4 1.070746e-08
0 2 8.201220e-09
0 1 9.417690e-04
1 17 6.044373e-06
1 9 9.999940e-01
1 5 6.971940e-15
1 3 5.332148e-13
2 18 2.890478e-11
2 10 9.962096e-01
2 6 4.606711e-13
2 3 3.790416e-03
3 19 1.914148e-09
3 11 1.000000e+00
3 7 3.008161e-19
4 20 3.181794e-11
4 12 9.999714e-01
4 6 2.795174e-17
4 5 2.859844e-05
5 21 2.099138e-09
5 13 1.000000e+00
5 7 1.815676e-21
6 22 1.007525e-14
6 14 9.998846e-01
6 7 1.154216e-04
7 23 6.647565e-13
7 15 1.000000e+00
8 24 1.290784e-09
8 12 2.845851e-10
8 10 6.116898e-11
8 9 1.000000e+00
9 25 1.000000e+00
9 13 2.174016e-09
9 11 4.665929e-08
10 26 1.012728e-13
10 14 3.042106e-15
10 11 1.000000e+00
11 27 1.000000e+00
11 15 2.962006e-10
12 28 1.477541e-11
12 14 6.865367e-18
12 13 1.000000e+00
13 29 1.000000e+00
13 15 4.574932e-13
14 30 1.159254e-15
14 15 1.000000e+00
15 31 1.000000e+00
16 24 1.832140e-01
16 20 4.165890e-06
16 18 1.351423e-10
16 17 8.167819e-01
17 25 1.000000e+00
17 21 1.479142e-11
17 19 4.791261e-14
18 26 5.264793e-02
18 22 5.165059e-11
18 19 9.473521e-01
19 27 1.000000e+00
19 23 6.381969e-16
20 28 8.808605e-01
20 22 2.212450e-18
20 21 1.191395e-01
21 29 1.000000e+00
21 23 1.631486e-22
22 30 6.468629e-01
22 23 3.531371e-01
23 31 1.000000e+00
24 28 1.276650e-10
24 26 1.162204e-15
24 25 1.000000e+00
25 29 9.990918e-01
25 27 9.081804e-04
26 30 1.364690e-15
26 27 1.000000e+00
27 31 1.000000e+00
28 30 1.304412e-22
28 29 1.000000e+00
29 31 1.000000e+00
30 31 1.000000e+00
