From To Probability
0 16 1.747861e-01
0 8 4.379372e-01
0 4 5.683789e-02
0 2 2.859596e-01
0 1 4.447924e-02
1 17 5.254901e-05
1 9 3.160983e-01
1 5 6.838491e-01
1 3 1.426508e-08
2 18 1.947285e-03
2 10 9.791766e-01
2 6 3.228343e-04
2 3 1.855326e-02
3 19 8.238258e-07
3 11 9.945334e-01
3 7 5.465753e-03
4 20 8.028287e-02
4 12 8.442503e-01
4 6 6.439505e-02
4 5 1.107179e-02
5 21 3.960791e-05
5 13 9.999604e-01
5 7 5.271365e-09
6 22 4.724533e-04
6 14 9.970881e-01
6 7 2.439461e-03
7 23 1.973662e-07
7 15 9.999998e-01
8 24 9.858700e-01
8 12 1.039984e-03
8 10 1.165548e-02
8 9 1.434578e-03
9 25 2.313987e-02
9 13 9.768601e-01
9 11 4.539239e-08
10 26 9.478504e-01
10 14 5.097599e-04
10 11 5.163981e-02
11 27 4.440027e-02
11 15 9.555997e-01
12 28 9.934583e-01
12 14 5.758269e-03
12 13 7.834271e-04
13 29 9.999990e-01
13 15 9.617308e-07
14 30 9.713218e-01
14 15 2.867822e-02
15 31 1.000000e+00
16 24 2.395529e-04
16 20 6.738705e-01
16 18 1.203444e-01
16 17 2.055456e-01
17 25 2.132573e-05
17 21 9.999787e-01
17 19 7.404354e-10
18 26 5.944596e-03
18 22 4.248053e-02
18 19 9.515749e-01
19 27 8.325107e-03
19 23 9.916749e-01
20 28 5.865965e-03
20 22 3.442328e-01
20 21 6.499012e-01
21 29 9.999959e-01
21 23 4.055739e-06
22 30 4.614865e-02
22 23 9.538513e-01
23 31 1.000000e+00
24 28 5.166670e-01
24 26 2.055403e-01
24 25 2.777927e-01
25 29 1.000000e+00
25 27 1.649428e-09
26 30 2.470055e-02
26 27 9.752995e-01
27 31 1.000000e+00
28 30 4.009701e-01
28 29 5.990299e-01
29 31 1.000000e+00
30 31 1.000000e+00
