From To Probability
0 16 3.398054e-03
0 8 9.965581e-01
0 4 8.080637e-09
0 2 2.589045e-05
0 1 1.793394e-05
1 17 2.816113e-05
1 9 9.999678e-01
1 5 3.700113e-06
1 3 3.650710e-07
2 18 3.222998e-03
2 10 9.967770e-01
2 6 1.052028e-14
2 3 3.211151e-09
3 19 2.670466e-05
3 11 9.999733e-01
3 7 4.816191e-12
4 20 2.349698e-01
4 12 9.316706e-04
4 6 2.238001e-08
4 5 7.640985e-01
5 21 6.756389e-01
5 13 3.243609e-01
5 7 1.094916e-07
6 22 9.952276e-01
6 14 4.161390e-03
6 7 6.109632e-04
7 23 6.638930e-01
7 15 3.361070e-01
8 24 9.999974e-01
8 12 1.329881e-06
8 10 1.233686e-06
8 9 3.074657e-10
9 25 9.315488e-01
9 13 6.844929e-02
9 11 1.955370e-06
10 26 1.000000e+00
10 14 1.825432e-12
10 11 5.804341e-14
11 27 9.999999e-01
11 15 1.008591e-07
12 28 9.999998e-01
12 14 1.542213e-11
12 13 1.894478e-07
13 29 1.000000e+00
13 15 2.623991e-11
14 30 1.000000e+00
14 15 3.576390e-11
15 31 1.000000e+00
16 24 1.000000e+00
16 20 4.200610e-13
16 18 1.029545e-09
16 17 5.737213e-10
17 25 1.000000e+00
17 21 1.916895e-10
17 19 1.446771e-11
18 26 1.000000e+00
18 22 5.467624e-19
18 19 1.027048e-13
19 27 1.000000e+00
19 23 2.495081e-16
20 28 9.745196e-01
20 22 9.276774e-10
20 21 2.548036e-02
21 29 1.000000e+00
21 23 1.337706e-11
22 30 9.999953e-01
22 23 4.680610e-06
23 31 1.000000e+00
24 28 5.848738e-01
24 26 4.150429e-01
24 25 8.321557e-05
25 29 9.999781e-01
25 27 2.185193e-05
26 30 9.808076e-01
26 27 1.919241e-02
27 31 1.000000e+00
28 30 1.011792e-04
28 29 9.998988e-01
29 31 1.000000e+00
30 31 1.000000e+00
