From To Probability
0 16 0.189271
0 8 0.0111684
0 4 0.439963
0 2 0.348301
0 1 0.0112969
1 17 0.017711
1 9 0.979429
1 5 0.0025566
1 3 0.000303477
2 18 0.839338
2 10 0.0995669
2 6 7.86225e-36
2 3 0.0610956
3 19 1.34969e-06
3 11 9.19519e-33
3 7 0.999999
4 20 0.170657
4 12 2.1214e-26
4 6 4.31828e-35
4 5 0.829343
5 21 0.688737
5 13 0.311262
5 7 9.39736e-07
6 22 8.89948e-12
6 14 9.90027e-08
6 7 1
7 23 0.000458364
7 15 0.999542
8 24 0.00869262
8 12 5.48523e-31
8 10 0.000616206
8 9 0.990691
9 25 0.055222
9 13 0.944778
9 11 3.59018e-43
10 26 0.206156
10 14 0.793844
10 11 8.10272e-27
11 27 2.8002e-14
11 15 1
12 28 0.0716522
12 14 1.61328e-16
12 13 0.928348
13 29 0.9965
13 15 0.00350014
14 30 2.79398e-12
14 15 1
15 31 1
16 24 0.263016
16 20 0.0156648
16 18 0.193131
16 17 0.528189
17 25 0.0256186
17 21 0.974381
17 19 1.10621e-13
18 26 0.784899
18 22 0.0717006
18 19 0.143401
19 27 5.53705e-06
19 23 0.999994
20 28 0.0534169
20 22 2.64109e-14
20 21 0.946583
21 29 0.999998
21 23 1.84802e-06
22 30 1.51157e-08
22 23 1
23 31 1
24 28 0.689516
24 26 4.71325e-11
24 25 0.310484
25 29 1
25 27 8.23568e-13
26 30 0.00482377
26 27 0.995176
27 31 1
28 30 1.6375e-15
28 29 1
29 31 1
30 31 1
