From To Probability
0 16 0.204552
0 8 5.5121e-07
0 4 0.295641
0 2 0.204166
0 1 0.295641
1 17 0.000651728
1 9 3.36688e-10
1 5 0.999348
1 3 0
2 18 0.999999
2 10 1.3491e-06
2 6 0
2 3 0
3 19 0.333333
3 11 0.333333
3 7 0.333333
4 20 0.000651728
4 12 3.36688e-10
4 6 0
4 5 0.999348
5 21 0.999864
5 13 0.000136037
5 7 3.54936e-10
6 22 0.333333
6 14 0.333333
6 7 0.333333
7 23 0.5
7 15 0.5
8 24 0.499937
8 12 0.000180582
8 10 0.499701
8 9 0.000180582
9 25 0.653129
9 13 0.346871
9 11 0
10 26 1
10 14 0
10 11 0
11 27 0.5
11 15 0.5
12 28 0.653129
12 14 0
12 13 0.346871
13 29 0.999999
13 15 6.81466e-07
14 30 0.5
14 15 0.5
15 31 1
16 24 1.34719e-06
16 20 0.000941949
16 18 0.998115
16 17 0.000941949
17 25 3.37411e-07
17 21 1
17 19 0
18 26 0.999995
18 22 2.6793e-06
18 19 2.6793e-06
19 27 0.5
19 23 0.5
20 28 3.37411e-07
20 22 0
20 21 1
21 29 0.999502
21 23 0.000497857
22 30 0.5
22 23 0.5
23 31 1
24 28 0.000235916
24 26 0.999528
24 25 0.000235916
25 29 1
25 27 0
26 30 0.5
26 27 0.5
27 31 1
28 30 0
28 29 1
29 31 1
30 31 1
