From To Probability
0 16 0.000416336
0 8 0.334714
0 4 0
0 2 1.13124e-65
0 1 0.66487
1 17 0.0709738
1 9 0.929026
1 5 7.19478e-274
1 3 9.13781e-61
2 18 0
2 10 0.546979
2 6 0
2 3 0.453021
3 19 9.60638e-191
3 11 1
3 7 1.35803e-215
4 20 0.25
4 12 0.25
4 6 0.25
4 5 0.25
5 21 0.333333
5 13 0.333333
5 7 0.333333
6 22 0.333333
6 14 0.333333
6 7 0.333333
7 23 0.5
7 15 0.5
8 24 9.29152e-57
8 12 1.33811e-284
8 10 2.82023e-61
8 9 1
9 25 0.960373
9 13 9.63072e-46
9 11 0.0396266
10 26 1.76198e-195
10 14 4.33847e-228
10 11 1
11 27 0.887477
11 15 0.112523
12 28 0.333333
12 14 0.333333
12 13 0.333333
13 29 0.5
13 15 0.5
14 30 0.5
14 15 0.5
15 31 1
16 24 1.37699e-57
16 20 0
16 18 0
16 17 1
17 25 1
17 21 4.74767e-48
17 19 1.40494e-46
18 26 0.333333
18 22 0.333333
18 19 0.333333
19 27 0.985021
19 23 0.0149788
20 28 0.333333
20 22 0.333333
20 21 0.333333
21 29 0.5
21 23 0.5
22 30 0.5
22 23 0.5
23 31 1
24 28 2.07831e-237
24 26 1.69409e-202
24 25 1
25 29 0.118107
25 27 0.881893
26 30 3.20594e-34
26 27 1
27 31 1
28 30 0.5
28 29 0.5
29 31 1
30 31 1
