From To Probability
0 16 0.346747
0 8 0.648687
0 4 0.00456583
0 2 2.76811e-13
0 1 3.54182e-14
1 17 0.496936
1 9 0.0669305
1 5 0.436133
1 3 2.94395e-54
2 18 0.217633
2 10 0.536932
2 6 0.245436
2 3 3.76681e-55
3 19 0.550282
3 11 0.449718
3 7 1.17433e-39
4 20 0.891235
4 12 0.108765
4 6 1.488e-11
4 5 3.38319e-12
5 21 1
5 13 1.64572e-22
5 7 7.9269e-93
6 22 5.53527e-56
6 14 1
6 7 1.8023e-93
7 23 0.5
7 15 0.5
8 24 0.95785
8 12 0.0421496
8 10 5.45877e-11
8 9 1.47977e-12
9 25 1
9 13 1.84746e-19
9 11 1.43309e-43
10 26 0.418071
10 14 0.581929
10 11 1.69278e-45
11 27 1
11 15 4.87186e-20
12 28 0.455634
12 14 0.544366
12 13 3.9225e-14
13 29 1
13 15 3.99317e-19
14 30 0.994717
14 15 0.00528336
15 31 1
16 24 0.775585
16 20 0.224415
16 18 1.25716e-11
16 17 4.15655e-12
17 25 0.156503
17 21 0.843497
17 19 1.09221e-46
18 26 1
18 22 3.20062e-48
18 19 2.67766e-47
19 27 1
19 23 2.70058e-23
20 28 0.714207
20 22 1.42237e-24
20 21 0.285793
21 29 1
21 23 1.09473e-10
22 30 0.999995
22 23 5.0798e-06
23 31 1
24 28 0.418068
24 26 0.477132
24 25 0.104799
25 29 1
25 27 3.33414e-07
26 30 0.482254
26 27 0.517746
27 31 1
28 30 5.18764e-07
28 29 0.999999
29 31 1
30 31 1
