From To Probability
0 16 0.499543
0 8 0.499543
0 4 0.000575383
0 2 0.000338022
0 1 4.77233e-09
1 17 0.290922
1 9 0.290922
1 5 0.418155
1 3 0
2 18 0.5
2 10 0.5
2 6 0
2 3 0
3 19 0.333333
3 11 0.333333
3 7 0.333333
4 20 0.499998
4 12 0.499998
4 6 0
4 5 3.46825e-06
5 21 0.5
5 13 0.5
5 7 0
6 22 0.333333
6 14 0.333333
6 7 0.333333
7 23 0.5
7 15 0.5
8 24 0.999086
8 12 0.000575908
8 10 0.000338331
8 9 2.7793e-09
9 25 0.281329
9 13 0.718671
9 11 0
10 26 1
10 14 0
10 11 0
11 27 0.5
11 15 0.5
12 28 0.999997
12 14 0
12 13 3.46826e-06
13 29 1
13 15 0
14 30 0.5
14 15 0.5
15 31 1
16 24 0.999086
16 20 0.000575908
16 18 0.000338331
16 17 2.7793e-09
17 25 0.281329
17 21 0.718671
17 19 0
18 26 1
18 22 0
18 19 0
19 27 0.5
19 23 0.5
20 28 0.999997
20 22 0
20 21 3.46826e-06
21 29 1
21 23 0
22 30 0.5
22 23 0.5
23 31 1
24 28 0.584763
24 26 0.414785
24 25 0.000451312
25 29 0.999983
25 27 1.74115e-05
26 30 0.5
26 27 0.5
27 31 1
28 30 0.00215365
28 29 0.997846
29 31 1
30 31 1
