From To Probability
0 16 0.227134
0 8 0.159024
0 4 0.250108
0 2 0.181908
0 1 0.181827
1 17 0.180569
1 9 0.213014
1 5 0.283829
1 3 0.322588
2 18 0.104577
2 10 0.247949
2 6 0.221896
2 3 0.425579
3 19 0.296805
3 11 0.421837
3 7 0.281358
4 20 1.71224e-13
4 12 1.758e-13
4 6 0.381506
4 5 0.618494
5 21 0.380331
5 13 0.434326
5 7 0.185343
6 22 0.000298053
6 14 0.601781
6 7 0.397921
7 23 0.5
7 15 0.5
8 24 0.234776
8 12 1.22024e-13
8 10 0.357434
8 9 0.407789
9 25 0.436289
9 13 0.344243
9 11 0.219468
10 26 0.000239602
10 14 0.503198
10 11 0.496562
11 27 0.5
11 15 0.5
12 28 0.953711
12 14 0.0166474
12 13 0.0296414
13 29 0.5
13 15 0.5
14 30 0.5
14 15 0.5
15 31 1
16 24 0.320792
16 20 1.94815e-13
16 18 0.215209
16 17 0.463998
17 25 0.489617
17 21 0.337508
17 19 0.172875
18 26 0.000712435
18 22 0.000712435
18 19 0.998575
19 27 0.5
19 23 0.5
20 28 0.974281
20 22 6.53036e-07
20 21 0.0257185
21 29 0.5
21 23 0.5
22 30 0.5
22 23 0.5
23 31 1
24 28 0.921248
24 26 1.58956e-05
24 25 0.0787365
25 29 0.5
25 27 0.5
26 30 0.5
26 27 0.5
27 31 1
28 30 0.5
28 29 0.5
29 31 1
30 31 1
